review_id,user_id,business_id,stars,useful,funny,cool,text,date,Sentiment
2-Y4QSgJXEYFJTJIo71IPQ,IPcgVWB-KXlb5bqt8fqE0Q,KDC4yE8av8-A5TxgmjjUiw,3,1,1,1,Me and the family came in on a Thursday for a few games of bowling. When we showed up the place was packed with what looked to be league players (all have own balls and equipment with them). We asked if there was any open lanes we could use for a few hours. We where told there was one lane open at the very end and we could use that one. We got all set up and started to play. The bowling equipment is pretty good to be honest. It's not super modern but not super old either. They have plenty of balls to use and they make it easy for the kids with the bumpers on their turns only. I have to say they need new shoes though. These things have been used since the late 90s or early 2000's for sure. We also got some food which to be honest was pretty tasty. The few complaints I had is an error code came up that said we had to wait for a tech. It took about 15 min for him to show up. He clicked things on the screen and walked away with the code still there. So I called the desk and he said he was working on it. He could have told us that he was so we didnt think he was just leaving us. Then we wanted to play another game and the guy up front told us we had to leave due to league. He could have told us that when we showed up. If we knew we only had an hour we probably would have gone someplace else. Tucson is losing almost all their bowling centers which is bad for the average customer. The lack of centers means more league playing there and pushing out families. That also means they dont have to provide great service cause your options are limited. All in all it was a decent experience. Just with a few tweaks it could have been great.,3/13/2020 1:43,1
bFz6i8UdmIwgyTU0et2EjQ,Nay3mMq0PpjX1-WXx_IdpQ,7-cD0S7vJlUOuTpF2vQLOQ,1,0,0,0,They have the worst customer service skills imaginable. Do not go there if you want a quick pizza and don't call in because they won't even keep your order. I waited for over 30 minutes after I called in an order and they told me it wasn't ready yet then it wasn't in the system. Please save your time and money go to a different one becase the people who work here don't deserve it.,1/30/2020 4:44,0
CJ_hijMxNGyPbmievHa2Aw,rVONIZ9xbSCcN7W0qYwPQA,Ei5HBqe012ImhqEr2ZH2gg,5,1,0,2,"Loved it! Amazing pizza and bread! I even bought another loaf of bread to take home. Pizza, hands down, the best I've tasted. We had white pizza with many veggies. Delicious! This place is small, plan ahead with reservations especially if moree than 2 of you.",1/30/2020 2:55,1
1cw4pq3BD_G529mu1OcOeQ,yPEZsd_qc0TMkijvGwnV7Q,KDC4yE8av8-A5TxgmjjUiw,1,0,0,0,"The staff was extremely rude here. The wait staff at the snack bar did not greet us or say anything to us at all. She rolled her eyes and sighed when I requested napkins and silverware. The manager was also rude almost refusing to put up the guards for an 11 year old because it's only for ""under 10"". He was condescending and rude as well. When talking to him about the experience and how it was ruined but the terrible customer service he responded insincerely and sarcastically. I have been to many bowling alleys in Tucson and this is my first time ever having an experience this bad. The place was great but won't be returning due to the staff.",9/24/2020 2:38,0
MVdhVDYj20hH4G3-wFV8dQ,dVBROupIiiWzfcEFJlrthQ,rd5OW7v_vqlh6vVoQdLEhQ,4,0,0,0,Posto Sano was great. Found out about it going into Scordatos pizza which is another gem. But came to Posto Sano around 11AM and it was truly pleasant. Food came out on a timely manner and service was good. Food was tasteful and right amount of portions - would have given a 5 star but ordered dessert and they had ran out of cream for the fruit bowl and couldn't substitute it with anything else. Would recommend to anyone. Overall good place. Good job Danny Scordatos.,06-03-2020 14:29,1
e-q7R2JKN3ArYJVUN_28yw,rsEWB9CSzZCY6L0uRT_lsA,Y6heWJJ9AmEL58fZwgi9YQ,5,0,0,0,"I have been frequenting Rosati's for at least the past 2 years. (Particularly lately) Their food is outstanding, including the thin crust pizza, meatball sandwiches, italian beef and sausage sandwiches. They use very fresh ingredients. Staff is always very accommodating and responsive, especially during the pandemic. They practice no touch service and bring your meal to your vehicle. I highly recommend you try them!",4/22/2020 5:44,1
8-gIJAplYzz4e8wI5TWBBA,qT56TTpIcJRvPaAaJpp1GQ,Y6heWJJ9AmEL58fZwgi9YQ,4,1,0,1,Been here before and brushed this place off. But they have an old style bar now and enthusiastic staff. First time in a long time I have been impressed by pizza at a joint! The slice of pizza full flavor and cooked just right. This place has a dope vibe. 12am on a Thursday night during COVID and it's lively. I will be back.,07-10-2020 06:45,1
4-dq336XmauaJvSr_G5ymw,vmcLnx2SwjoAOcn_kU5geQ,Y6heWJJ9AmEL58fZwgi9YQ,5,1,0,1,"Am I back in Chicago?!?   A really solid meatball sub with hot giardiniera and a can of Old Style?  C'mon!  Yes!  The new bar is wonderfully comfortable, and the food and service are great.   The bar area lighting is just right too.   Not too bright.  I hate these new places that light up their bars like an operating room with bad fluorescent kitchen lighting.  No silly attitudes here, just nice, regular people serving Chicago neighborhood food in a comfy atmosphere.",01-08-2020 21:52,1
0CGk_YSpd3QrA22oET-Qdw,I06gY9An4o81XpejLWD9DA,rd5OW7v_vqlh6vVoQdLEhQ,4,0,0,0,It's still a great concept which I like very much but based on the quality to price ratio I'm lowering the review to a more realistic level.,11/28/2020 16:57,1
sDYsB_2qyWPPJ3-1TI3Rqw,Whr25hIdvJlFzUHTdSRQSw,Bb5YSi_C9p4Sp6eD4ZCSVQ,4,0,0,0,"Great white pizza,  wings, and cheese sticks.  I will return and great service     Great meal and ambience",2/13/2021 3:26,1
rqrH3iRiwfejbSvcaj7Bng,WASCy4HMHPAfU0GLSGZXIg,Ei5HBqe012ImhqEr2ZH2gg,5,0,0,0,"Best New York or Neapolitan style pizza in the Tucson area. Even though it is a 45 minute drive for us,  we  go there for the Brooklyn style pizza. I am from Broooklyn '&  will state unequivocally  that it is the closest thing to real New York pizza I have found  since leaving New York, Never disappoints in quality or service.  Their fresh bread  also is excellent",1/31/2020 17:39,1
GgvWR1kEviPZVSxpYrxz3Q,iZAAjkPZ0sopzfajcfdOUg,Y6heWJJ9AmEL58fZwgi9YQ,5,0,0,1,"I ordered delivery, the pizzas arrived hot and delicious. They way the pizza is cut makes it perfect for sharing, and the 12"" is the perfect way to do this. I like all the pizza options and they fact there are so many is great!",05-08-2021 00:52,1
6JMHtiPQGIMhypFut_-KfQ,1ZfTuwipogg1pL4ICvHHoQ,rd5OW7v_vqlh6vVoQdLEhQ,3,5,1,4,"This is a new concept restaurant by Daniel Scordato of Vivace fame. Their goal is pure, fast & Italian. Located on Campbell & Skyline, it's a very long drive from Sahuarita, but I was checking it out for a Meetup group - they don't take reservations for the nice patio (w/a fireplace) nor for inside seating. The staff is polite & helpful & I needed help to order from the touchscreen. their food is keto, vegetarian & vegan friendly which is quite trendy these days. They offer a variety of beverages to include, beer, wine & cocktails. Regular water & sparkling water is self-serve & no charge. They have an interesting, but limited menu consisting of salads, protein plates, vegeatarian plates, Roman pizza & panino. a 10% discount is given when ordering 2 vegetable plates w/a protein or for 3 vegetable plates. The dessert menu only had 3 items. The seared brazino was tasty, but a rather small portion for $11.95. The roasted brussel sprouts had good flavor, but were not tender & 2 X I sent back the risotto - $4.75- 'cause it was tepid @best. To appease me they brought me delicious asparagus. If It was closer to home I'd probably go back, but.....
Tried the olive oil cake that I brought home yesterday & it was one of the best desserts that I've ever had, including on my trips to Italy - a 5-star culinary delight!",03-05-2020 04:06,0
kn-yK3fRSCI7BgWCcpW8xQ,OE3Imzb6asWya_Zq67rQ1A,B10mqANgHvL8gBteo1UhAA,5,1,0,0,"All the recipes are from the old days, all of this food made from scratch. What a treat even the ice tea is brewed. 

We Love the recipes and the atmosphere, both inside for lunch and in the evening in the garden.
We purposely go out of our way for an opportunity to enjoy it.
We buy their salad dressing by the quart and bring it home.... Yum!",8/30/2020 0:47,1
4Nz_HYnoeY7fbHANq9XbKg,DJEz58nzBCDaXy9XUanBUA,rd5OW7v_vqlh6vVoQdLEhQ,5,0,0,1,"Phenomenal! Food is fresh, tasty, and reasonably priced. With covid19 we switched to take-out and they do a beautiful job with separating the food so that things don't get all mixed together before you are ready. I love that they use sustainable/recyclable materials. One of my new favorites in Tucson!",05-05-2020 21:59,1
xcZmPr9qOz0wAjjHNwzaeg,6dh6dmm17FMD3LTEoi66yA,B10mqANgHvL8gBteo1UhAA,4,0,0,0,This is a place that I remember for two reasons: the first reason is because this is the first Italian place I went to as a child with my father on one of his business trips and I wasn't afraid to try so many different items on the menu. My brother and I always talk about this special memory with my father and how good the food was. The other memory I have with this place is when me and my fiancé first started dating we took a trip to Tucson to do some hiking and sightseeing and had a great time and enjoyed everything Tucson had to offer especially this place. We love the lights in the gardens and the food was great. I would never called this place the best Italian food I've ever had but it was excellent because the food was savory and the ambience is relaxing and the customer service was superb. My fiancé left her purse there after hours and they were kind enough to open up well over two hours after we left the restaurant just so she can get her purse and everything was perfect. I would highly recommend this place plus it's close to college so the area is pretty cool. Don't expect to have the greatest Italian food ever but expect a great experience with some savory food items.,03-12-2020 19:06,1
Pz_St1MOIXqcsY8yZIBC_Q,3JBM5HqjYBGUiitiHfFecA,Y6heWJJ9AmEL58fZwgi9YQ,2,1,0,0,"We don't go to the Ina road location any more. Frustrated with slow service, at times non existent. Good pizza though!",10/24/2020 22:52,0
CVWZWz_pMoNLhqq0O0zOYA,4BS4PMY8JCiV09mrgaEmpA,SbdL-8NSmTWgSwdGZBa7WQ,4,0,0,0,"The food was good and I was happy to support this restaurant especially due to the world's current situation. I had the shrimp scampi, it wasn't the best I've ever had, but it also wasn't horrible.",2/26/2021 0:57,1
syOamw-s0vm47Va68rN04Q,4BS4PMY8JCiV09mrgaEmpA,B10mqANgHvL8gBteo1UhAA,4,0,0,0,"This restaurant has an authentic Italian vibe to it. I enjoyed my meal and the rest of my party did as well. Parking was kind of difficult due to this location being in downtown Tucson. Additionally, wait times were around 45 minutes to an hour, but the wait was definitely worth it!",05-09-2021 09:48,1
